question,answer,note
SREGのビット2に位置する、演算結果が負になったことを示すフラグは？,Nフラグ（Negative）,演算結果の最上位ビット（MSB）が $1$ （負）の場合にセットされる。
SREGのビット3に位置する、符号付き演算で「桁あふれ」が発生したことを示すフラグは？,Vフラグ（Overflow）,2の補数表現において、演算結果が表現可能な範囲を超えたことを示す。
SREGのビット7に位置し、割り込みの許可/禁止を全体的に制御するフラグは？,Iフラグ（Interrupt）,SEI命令で全体許可（ $1$ ）、CLI命令で全体禁止（ $0$ ）に設定できる。
処理命令：汎用レジスタに定数（即値）をロードする命令は？,LDI,Load Immediate。R16〜R31の上位汎用レジスタのみが使用可能。
処理命令：ある汎用レジスタの内容を別の汎用レジスタにコピーする命令は？,MOV,Move。転送元のレジスタの内容は保持されたまま、転送先へ複製される。
処理命令：I/O番地からデータを汎用レジスタに読み込む命令は？,IN,標準I/Oアドレスから汎用レジスタへデータを転送する。
処理命令：汎用レジスタの内容をI/O番地に書き出す命令は？,OUT,汎用レジスタの値を標準I/Oアドレスのレジスタ（ポートなど）へ転送する。
処理命令：メモリ（SRAMなど）の特定のアドレスから汎用レジスタに直接ロードする4バイト命令は？,LDS,Load Direct from Data Space。全データ空間を指定して読み出すことが可能。
処理命令：汎用レジスタの内容をメモリの特定のアドレスに直接格納する4バイト命令は？,STS,Store Direct to Data Space。全データ空間の任意のアドレスに書き込む。
処理命令：2つの汎用レジスタの内容を加算する命令は？,ADD,Add without Carry。Rd = Rd + Rrを行い、結果をRdに格納する。
Cフラグも含めて、2つの汎用レジスタを加算する命令（多バイト演算に使用）は？,ADC,Add with Carry。下位バイトの計算で生じた桁上がりを考慮して加算する。
処理命令：汎用レジスタの内容を1だけ増加させる命令は？,INC,"Increment。指定したレジスタに $1$ を加える。Z, N, Vフラグが変化する。"
2つの汎用レジスタのビットごとの論理積をとる命令は？,AND,両方のビットが $1$ のときのみ結果を $1$ にする。ビットマスク処理に使用。
汎用レジスタの特定のビットを「1」にセットするために使用される論理和命令は？,ORI,Logical OR with Immediate。定数との論理和により特定のビットを立てる。
2つの汎用レジスタの内容を比較し、SREGのフラグを更新する（引き算を行うが結果は格納しない）命令は？,CP,Compare。内部で引き算を行い、その結果に基づきZやCフラグを更新する。
2つの汎用レジスタの内容を比較し、等しければ次の1命令をスキップする命令は？,CPSE,Compare Skip if Equal。等しい場合に条件分岐なしで次の命令を飛ばす。
現在のPC値からの相対距離で無条件ジャンプする2バイト命令は？,RJMP,Relative Jump。現在のPCから前後数KBの範囲へ高速にジャンプする。
SREGのZフラグが「0」の場合（結果が等しくない場合）に分岐する命令は？,BRNE,Branch if Not Equal。比較結果が不一致の時や、ループ終了判定に多用される。
SREGのCフラグが「1」の場合に分岐する命令は？,BRCS,Branch if Carry Set。符号なし整数の比較で「より小さい」場合に分岐する。
サブルーチンを呼び出し、戻り先アドレスをスタックに保存する命令は？,CALL（またはRCALL）,CALLは全空間指定、 $4$ バイト。RCALLは相対指定、 $2$ バイト。
サブルーチンから復帰し、スタックからPC値を戻す命令は？,RET,Return from Subroutine。スタックに退避されていたアドレスをPCに戻し、呼出元へ帰る。
レジスタの内容を「論理左シフト」する命令（2倍の演算に相当）は？,LSL,Logical Shift Left。全ビットを左へずらし、LSBに $0$ を、MSBをCフラグに入れる。
符号を維持したままレジスタの内容を「算術右シフト」する命令は？,ASR,Arithmetic Shift Right。符号ビット(MSB)を維持して右へずらす。 $1/2$ の演算。
レジスタの「上位4ビット」と「下位4ビット」を入れ替える命令は？,SWAP,ニブル（4ビット単位）の入れ替えを行う。BCD処理などに便利。
何もしない命令（1クロック分待つ）は？,NOP,No Operation。命令実行時間の微調整や、パイプラインの調整に使用。
擬似命令：汎用レジスタに別名を定義する命令（例：.def TEMP = R16）は？,.def,アセンブラに対する指示。ソースコードの可読性を高めるために用いる。
擬似命令：定数に名前を付ける命令（例：.equ MAX = 100）は？,.equ,等価定数定義。C言語の#defineに相当し、数値を名前で管理できる。
擬似命令：プログラムの書き込み開始番地を指定する命令（例：.org 0x0000）は？,.org,Origin。以降のコードやデータを配置するメモリ上の絶対アドレスを指定する。
AVRマイコンにおいて、間接参照用ポインタとして使われるXレジスタはどのレジスタの組み合わせですか？,R27 : R26,汎用レジスタ二つを繋ぎ、16ビットのアドレスポインタとして使用する。
AVRマイコンにおいて、間接参照用ポインタとして使われるZレジスタはどのレジスタの組み合わせですか？,R31 : R30,16ビットポインタ。データ空間のほか、フラッシュROM読み出し（LPM）にも必須。
"間接ロード命令「LD R16, Z+」における「+」の意味は何ですか？",アクセスした後にレジスタ（Z）の値を+1する（ポストインクリメント）,データ読み出し後に自動でポインタを更新し、配列走査を高速化する。
多バイト整数をメモリに保存する際、下位バイトを小さな番地に格納する方式を何と呼びますか？,リトルエンディアン,低位バイトから順にメモリへ配置する。AVRやx86アーキテクチャで採用。
AVRマイコンは「リトルエンディアン」と「ビッグエンディアン」のどちらを採用していますか？,リトルエンディアン,多バイトデータの保持において、最下位バイト(LSB)が最小アドレスに配置される。
IEEE 754単精度浮動小数点数の全体のビット数は？,32ビット,符号、指数、仮数の3要素を $32$ ビット（ $4$ バイト）に詰め込む形式。
IEEE 754単精度浮動小数点数において、符号部は何ビットですか？,1ビット,最上位ビット。 $0$ なら正の数、 $1$ なら負の数を表す。
IEEE 754単精度浮動小数点数において、指数部は何ビットですか？,8ビット,バイアス表現を用い、実数における指数の大きさを決定する。
IEEE 754単精度浮動小数点数において、仮数部は何ビットですか？,23ビット,実数部分（ $1.\text{xxx}$ ）の小数点以下の部分を格納する。
IEEE 754単精度浮動小数点数の指数部を計算する際、実際の指数に加えるバイアス値は？,$127$,指数部を符号なし整数として扱うために加算される定数。
浮動小数点数の正規化において、仮数部の先頭（小数点の左側）に省略されている固定の値は何ですか？,1,正規化により常に「 $1.x$ 」となるため、先頭の $1$ を省いて精度を $1$ ビット分稼ぐ。
10進数の  $0.5$  を浮動小数点の2進数形式（ $1.\text{x} \times 2^n$ ）に直すと指数  $n$  はいくらですか？,$-1$,$0.5 = 2^{-1}$  なので、正規化表現では  $1.0 \times 2^{-1}$  となる。
浮動小数点数における指数部ビットが「 $10000000$ 」の場合、バイアスを引いた実際の指数は何ですか？,$1$  （ $128 - 127$ ）,指数部が $128$ のとき、バイアス $127$ を引くと実指数は $1$ となる。
USART（UART）通信などの、クロック信号を共有せずに通信を行う方式を何と呼びますか？,非同期（調歩同期）式通信,送受信側で共通のボーレートを設定し、スタートビットで同期を開始する。
シリアル通信において、1秒間に転送されるビット数を表す単位は何ですか？,bps（bit per second / ボーレート）,通信速度の指標。 $1$ 秒間に何個の $0/1$ 信号を送信できるかを表す。
ボーレートが  $9600\text{ bps}$  のとき、1ビットを送信するのにかかる時間は？,$\frac{1}{9600} \approx 104\text{ }\mu\text{s}$,ボーレートの逆数。受信側はこの時間間隔で信号をサンプリングする。
UARTの信号波形で、通信が行われていない「アイドル状態」の電圧レベルは？,H（High / 1）,無信号時は電圧を高く保つ（マーク状態）。断線を検知しやすい利点がある。
UART通信の開始を示す「スタートビット」の電圧レベルは？,L（Low / 0）,アイドル状態(H)から電圧をLに下げることで、データ転送の開始を通知する。
UARTでデータを送る際、「MSBから」と「LSBから」のどちらの順序で送信しますか？,LSB（下位ビット）から,標準的なUARTでは、 $0$ 番目のビット(D0)から順に送出される。
シリアル通信で、データの誤りを検出するために追加されるビットを何と呼びますか？,パリティビット,$1$ の総数が偶数か奇数かをチェックすることで、簡易的な誤り検出を行う。
「偶数パリティ」設定でデータ内の「1」の数が3個の場合、パリティビットの値はどうなりますか？,1 （合計を偶数にするため）,データとパリティを合わせた $1$ の個数が偶数になるよう調整される。
UART通信の終了を示すビットを何と呼びますか？,ストップビット,データビット（およびパリティ）の後に送信されるHレベルのビット。
UART通信において、ストップビットの電圧レベルは？,H（High / 1）,通信の終わりを明確にし、アイドル状態へと繋げる電圧レベル。
USARTの構成で、送信線と受信線をそれぞれ何と呼びますか？,TxD（送信）、RxD（受信）,Transmit Data と Receive Data の略。
2線式で最大112個のデバイスを接続でき、SDAとSCLを使用する同期式シリアルインターフェースは？,TWI（I2C）,Two Wire Interface。アドレス指定方式により多対多の接続が可能。
同期式シリアル通信「SPI」で使用される4本の主要な信号線は？,"SCK, MOSI, MISO, SS",高速な全二重通信が可能。SCKはマスタから供給されるクロック信号。
SPI通信において、スレーブを選択するために使用される信号線は？,SS（Slave Select）,通信対象のスレーブデバイスに対して、L信号を入力して活性化させる。
コンデンサに電荷を蓄えることで記憶し、周期的な「リフレッシュ」が必要なメモリは？,DRAM,Dynamic RAM。構造が単純で高密度化が可能。PCの主記憶に用いられる。
フリップフロップ回路を用いて記憶し、高速だが高価で小容量な揮発性メモリは？,SRAM,Static RAM。リフレッシュ不要。CPU内部のレジスタやキャッシュに用いられる。
「1回だけ」書き込みが可能なPROMを何と呼びますか？,OTPROM（one time PROM）,内部のヒューズを焼き切るなどで記録。量産品のコスト削減に用いられる。
紫外線（UV）を照射することで内容を消去できるROMを何と呼びますか？,UV-EPROM,石英ガラスの窓から紫外線を当てることでデータを消去し、再書き込みできる。
電気的にバイト単位で消去・書き込みが可能だが、容量が小さい不揮発性メモリは？,EEPROM,Electrically Erasable PROM。電源遮断後も残したい設定値の保存に適す。
強誘電体を用いて、不揮発性かつ高速・低消費電力を実現したメモリは？,FeRAM,Ferroelectric RAM。揮発性メモリの速さと不揮発性を兼ね備えた次世代メモリ。
CPUを介さずに、メモリと周辺機器の間で直接データ転送を行う仕組みを何と呼びますか？,DMA（Direct Memory Access）,専用コントローラが制御を代行し、CPUの負荷を大幅に軽減する。
CPUとメインメモリの速度差を埋めるために、CPU内部に配置される高速な小容量メモリは？,キャッシュメモリ,頻繁にアクセスするデータを一時保持し、低速な主記憶へのアクセスを減らす。
キャッシュメモリには通常どのような種類のメモリが使われますか？,SRAM,高速な応答性能が必要なため、揮発性で高速なSRAMが採用される。
外部の要求により、現在の処理を一時中断して特定の処理（サブルーチン）を実行することを何と呼びますか？,割り込み（インタラプト）,イベント発生時に即座に対応するための機能。実行後は元の処理に戻る。
ATmega48で外部から正確なクロックを供給する場合、最大何MHzまで対応していますか？,$20\text{ MHz}$,外部の水晶発振器などを使用し、高速かつ精密な動作タイミングを実現できる。
AVRマイコンのGPIOにおいて、1つのポート（例：PORTB）は何ビットで構成されますか？,8ビット,$8$ 本のピンを一つのレジスタで一括操作できる。
"浮動小数点数：符号  $s=1$ , 指数部  $E=128$ , 仮数部  $M=0$ （ $1.0$ ）のとき、この数値は？",$-2.0$  （ $-1 \times 2^{128-127} \times 1.0$ ）,符号が負、指数が  $2^1$  、仮数が  $1.0$  となり、結果は  $-2.0$ 。
処理命令：汎用レジスタ  $R16$  の内容をスタックに保存する命令は？,PUSH R16,SP（スタックポインタ）のアドレスへ保存し、SPをデクリメントする。
処理命令：スタックから値を取り出し、汎用レジスタ  $R16$  に戻す命令は？,POP R16,SPをインクリメントした後、スタックからデータを取り出しレジスタへ格納する。
処理命令：レジスタ  $R16$  と 定数  $10$  を比較し、フラグを更新する命令は？,"CPI R16, 10",Compare with Immediate。即値との比較を行い、SREGを更新する。
処理命令：レジスタ  $R16$  の内容を  $1$  減らす命令は？,DEC R16,"Decrement。値を $1$ 引き、結果によってZ, N, Vフラグを更新する。"
処理命令：2つのレジスタの排他的論理和をとる命令は？,EOR,Exclusive OR。二つの値が異なるビットのみ $1$ にする。
処理命令：PCの指すアドレスへ相対的に呼び出しを行う命令（CALLの相対版）は？,RCALL,Relative Call。PCからの相対距離で指定するため、命令長が短い。
処理命令：割り込み処理ルーチンから復帰するための専用命令は？,RETI,Return from Interrupt。復帰時にIフラグ（全体割り込み許可）を自動でセットする。
処理命令：レジスタ  $R0$  〜  $R31$  を「論理右シフト」する命令は？,LSR,Logical Shift Right。MSBに $0$ を入れ、LSBをCフラグに追い出す。
Cフラグを含めて、レジスタを左に回転（ローテート）させる命令は？,ROL,Rotate Left through Carry。CフラグをLSBに入れ、MSBを新たなCフラグにする。
処理命令：ウォッチドッグタイマーをリセットする命令は？,WDR,Watchdog Reset。暴走監視タイマーを初期化し、意図しないリセットを防ぐ。
固定小数点：8ビットのうち下位3ビットを小数部としたとき、 $2$ 進数「 $00000.100$ 」は10進数でいくつですか？,$0.5$,小数第1位（ $2^{-1}$ ）が $1$ のため、 $0.5$ となる。整数型で小数を扱う手法。
メモリ上の近い番地にある内容は、繰り返し利用されやすいという性質を何と呼びますか？,参照の局所性,時間的局所性と空間的局所性があり、キャッシュの効率に直結する。
浮動小数点数の演算機能をCPU内に持たない場合、代わりに演算を行うハードウェアを何と呼びますか？,FPU（Floating Point Unit）,浮動小数点演算専用のプロセッサ。非搭載機ではソフトで模倣する必要がある。
AVRマイコン（ATmega48）にFPUは内蔵されていますか？,内蔵されていない（ソフトウェアで処理する）,固定小数点演算やソフトウェアライブラリを用いて浮動小数点を扱う。
UARTのボーレートが  $2400\text{ bps}$  のとき、1秒間に送れる最大文字数は（1文字10ビットとして）？,240文字,"$2,400$ ビットを $10$ ビット（ $1$ 文字分）で割ることで算出される。"
UARTで「偶数パリティ」を使用し、データが  $0\text{x}41$ （ $01000001$ ）のとき、パリティビットは？,0 （1の数が2個で既に偶数のため）,データ内の $1$ の数が $2$ （偶数）なので、パリティビットは $0$ にする。
UART通信において、受信側がデータの中心でサンプリングを行うのはなぜですか？,ビットの境界での誤判定を防ぎ、ノイズ耐性を高めるため,信号の変化点から最も遠い「安定した瞬間」に値を読み取るため。
命令実行サイクルにおいて、メモリから命令（数値）を取り出す動作を何と呼びますか？,フェッチ,プログラムカウンタの示すアドレスから命令コードをCPU内に読み込む。
アドレスを指定してメモリの特定の場所から値を読み書きする際、その対応図を何と呼びますか？,メモリマップ,CPUから見えるメモリ空間のどこに何が配置されているかを示す設計図。
スタックポインタ（SP）は、PUSH操作をするとアドレス値はどう変化しますか？,1減る（ $-1$ ）,AVRのスタックは高位アドレスから低位へ向かって積み上げられるため。
スタックポインタ（SP）は、POP操作をするとアドレス値はどう変化しますか？,1増える（ $+1$ ）,データを取り出し、空いた領域（高位側）へポインタを戻す。
AVR命令「RJMP START」の「START」のように、特定のアドレスに名前を付けたものを何と呼びますか？,ラベル,アセンブラが最終的に数値（アドレス）へ置換する、プログラム上の目印。
